Total_Fare,Airways,Duration,Hopping,Taken_Day,Dept_Day,Days_To_Dept,Session,FlightGroup
7517.0,4,170,0,4,0,3,3,20
7888.0,2,285,0,4,0,3,0,6
8009.0,1,160,0,4,0,3,3,5
8041.0,4,175,0,4,0,3,2,19
8041.0,2,175,0,4,0,3,2,8
8041.0,2,180,0,4,0,3,2,8
8303.0,4,485,0,4,0,3,0,17
8326.0,0,165,0,4,0,3,2,2
8326.0,0,170,0,4,0,3,0,0
8436.0,3,165,0,4,0,3,2,12
8448.0,6,160,0,4,0,3,2,22
8448.0,6,160,0,4,0,3,2,22
8448.0,6,165,0,4,0,3,2,22
8671.0,2,165,0,4,0,3,3,9
8808.0,2,285,0,4,0,3,3,9
9111.0,4,400,0,4,0,3,2,19
9591.0,3,175,0,4,0,3,2,12
9591.0,3,175,0,4,0,3,2,12
9669.0,2,260,0,4,0,3,0,6
9928.0,2,170,0,4,0,3,0,6
10198.0,1,165,0,4,0,3,1,4
11222.0,2,275,0,4,0,3,0,6
11700.0,2,275,0,4,0,3,0,6
12500.0,2,170,0,4,0,3,1,7
13760.0,2,175,0,4,0,3,1,7
15969.0,4,170,0,4,0,3,1,18
16493.0,2,170,0,4,0,3,0,6
16493.0,2,175,0,4,0,3,0,6
16493.0,2,175,0,4,0,3,1,7
16795.0,6,175,0,4,0,3,1,21
17723.0,0,165,0,4,0,3,1,1
19687.0,3,155,0,4,0,3,1,11
19687.0,3,180,0,4,0,3,0,10
19687.0,3,180,0,4,0,3,0,10
21310.0,6,160,0,4,0,3,1,21
28696.0,0,165,0,4,0,3,0,0
6413.0,2,245,0,4,2,4,2,8
7130.0,1,165,0,4,2,4,1,4
7517.0,2,170,0,4,2,4,3,9
7517.0,2,170,0,4,2,4,1,7
8009.0,1,160,0,4,2,4,3,5
8041.0,4,170,0,4,2,4,3,20
8041.0,2,170,0,4,2,4,0,6
8041.0,2,175,0,4,2,4,2,8
8041.0,2,175,0,4,2,4,0,6
8436.0,3,165,0,4,2,4,3,13
8436.0,3,180,0,4,2,4,0,10
8448.0,6,160,0,4,2,4,1,21
8448.0,6,175,0,4,2,4,1,21
8513.0,4,485,0,4,2,4,0,17
8515.0,4,175,0,4,2,4,2,19
8658.0,6,160,0,4,2,4,2,22
8671.0,2,165,0,4,2,4,3,9
8671.0,2,175,0,4,2,4,1,7
8671.0,2,175,0,4,2,4,1,7
8804.0,2,260,0,4,2,4,0,6
8925.0,2,295,0,4,2,4,0,6
9039.0,4,170,0,4,2,4,1,18
9302.0,2,165,0,4,2,4,1,7
9302.0,2,170,0,4,2,4,2,8
9591.0,3,155,0,4,2,4,1,11
9591.0,3,165,0,4,2,4,2,12
9591.0,3,175,0,4,2,4,2,12
9918.0,6,165,0,4,2,4,2,22
9938.0,2,285,0,4,2,4,3,9
10623.0,4,400,0,4,2,4,2,19
10741.0,0,165,0,4,2,4,1,1
11444.0,3,175,0,4,2,4,2,12
11444.0,3,180,0,4,2,4,0,10
12228.0,6,160,0,4,2,4,2,22
12841.0,0,170,0,4,2,4,0,0
14846.0,2,170,0,4,2,4,0,6
16493.0,2,165,0,4,2,4,3,9
16493.0,2,180,0,4,2,4,2,8
17933.0,0,165,0,4,2,4,0,0
21031.0,0,165,0,4,2,4,2,2
23964.0,2,275,1,4,2,4,0,6
23964.0,2,275,1,4,2,4,0,6
6069.0,1,165,0,4,3,5,1,4
6126.0,3,165,0,4,3,5,3,13
6361.0,2,165,0,4,3,5,1,7
6361.0,2,170,0,4,3,5,3,9
6361.0,2,170,0,4,3,5,1,7
6887.0,2,165,0,4,3,5,3,9
6887.0,4,170,0,4,3,5,3,20
6887.0,4,170,0,4,3,5,1,18
6991.0,2,165,0,4,3,5,3,9
7130.0,1,160,0,4,3,5,3,5
8041.0,2,170,0,4,3,5,0,6
8041.0,4,175,0,4,3,5,2,19
8041.0,2,175,0,4,3,5,1,7
8304.0,2,285,0,4,3,5,3,9
8373.0,2,285,0,4,3,5,0,6
8436.0,3,155,0,4,3,5,1,11
8436.0,3,165,0,4,3,5,2,12
8448.0,6,160,0,4,3,5,2,22
8448.0,6,160,0,4,3,5,1,21
8448.0,6,165,0,4,3,5,2,22
8448.0,6,175,0,4,3,5,1,21
8671.0,2,175,0,4,3,5,2,8
8671.0,2,175,0,4,3,5,0,6
8775.0,4,485,0,4,3,5,0,17
9305.0,4,400,0,4,3,5,2,19
9591.0,3,180,0,4,3,5,0,10
9708.0,6,160,0,4,3,5,2,22
9770.0,2,260,0,4,3,5,0,6
9980.0,2,245,0,4,3,5,2,8
10644.0,2,275,0,4,3,5,0,6
11122.0,2,180,0,4,3,5,2,8
11222.0,2,275,0,4,3,5,0,6
11444.0,3,175,0,4,3,5,2,12
11444.0,3,175,0,4,3,5,2,12
11444.0,3,180,0,4,3,5,0,10
11791.0,0,165,0,4,3,5,1,1
12841.0,0,165,0,4,3,5,2,2
28486.0,0,170,1,4,3,5,0,0
4220.0,1,165,0,4,1,6,1,4
4377.0,2,170,0,4,1,6,1,7
4644.0,2,175,0,4,1,6,1,7
4756.0,0,170,0,4,1,6,1,1
4944.0,2,170,0,4,1,6,3,9
4944.0,2,170,0,4,1,6,1,7
4944.0,2,175,0,4,1,6,1,7
5160.0,3,165,0,4,1,6,3,13
5259.0,4,170,0,4,1,6,3,20
5259.0,4,170,0,4,1,6,1,18
5554.0,2,165,0,4,1,6,3,9
5947.0,2,165,0,4,1,6,1,7
6069.0,1,160,0,4,1,6,3,5
6126.0,3,155,0,4,1,6,1,11
6361.0,2,165,0,4,1,6,3,9
6887.0,2,180,0,4,1,6,2,8
7281.0,3,165,0,4,1,6,2,12
7281.0,3,175,0,4,1,6,2,12
7888.0,2,285,0,4,1,6,0,6
8041.0,2,170,0,4,1,6,0,6
8041.0,2,170,0,4,1,6,0,6
8041.0,4,175,0,4,1,6,2,19
8041.0,2,175,0,4,1,6,2,8
8041.0,2,175,0,4,1,6,0,6
8303.0,4,485,0,4,1,6,0,17
8326.0,0,165,0,4,1,6,2,2
8326.0,0,165,0,4,1,6,0,0
8326.0,0,170,0,4,1,6,0,0
8436.0,3,175,0,4,1,6,2,12
8436.0,3,180,0,4,1,6,0,10
8436.0,3,180,0,4,1,6,0,10
8448.0,6,160,0,4,1,6,2,22
8448.0,6,160,0,4,1,6,2,22
8448.0,6,160,0,4,1,6,1,21
8448.0,6,165,0,4,1,6,2,22
8448.0,6,175,0,4,1,6,1,21
8723.0,2,245,0,4,1,6,2,8
8795.0,2,260,0,4,1,6,0,6
8795.0,2,285,0,4,1,6,3,9
8933.0,2,275,0,4,1,6,0,6
9564.0,2,275,1,4,1,6,0,6
9641.0,4,400,0,4,1,6,2,19
4220.0,1,165,0,4,5,7,1,4
4377.0,2,170,0,4,5,7,3,9
4377.0,2,170,0,4,5,7,1,7
4530.0,3,165,0,4,5,7,3,13
4639.0,4,170,0,4,5,7,3,20
4644.0,2,165,0,4,5,7,3,9
4644.0,2,170,0,4,5,7,3,9
4944.0,2,170,0,4,5,7,1,7
4944.0,2,175,0,4,5,7,1,7
4944.0,2,180,0,4,5,7,2,8
5010.0,1,160,0,4,5,7,3,5
5160.0,3,165,0,4,5,7,2,12
5160.0,3,175,0,4,5,7,2,12
5554.0,2,175,0,4,5,7,1,7
5995.0,4,170,0,4,5,7,1,18
5995.0,4,175,0,4,5,7,2,19
6126.0,3,155,0,4,5,7,1,11
6768.0,6,160,0,4,5,7,2,22
6768.0,6,160,0,4,5,7,2,22
6768.0,6,160,0,4,5,7,1,21
6768.0,6,165,0,4,5,7,2,22
6768.0,6,175,0,4,5,7,1,21
7888.0,2,285,0,4,5,7,0,6
8041.0,2,175,0,4,5,7,2,8
8041.0,2,175,0,4,5,7,0,6
8051.0,4,400,0,4,5,7,2,19
8295.0,2,285,0,4,5,7,3,9
8295.0,2,295,0,4,5,7,0,6
8326.0,0,165,0,4,5,7,2,2
8436.0,3,175,0,4,5,7,2,12
8436.0,3,180,0,4,5,7,0,10
8567.0,2,170,0,4,5,7,0,6
8933.0,2,275,0,4,5,7,0,6
9113.0,0,165,0,4,5,7,1,1
9113.0,0,170,0,4,5,7,0,0
9564.0,2,275,0,4,5,7,0,6
9591.0,3,180,0,4,5,7,0,10
3579.0,2,170,0,4,6,8,1,7
3784.0,1,165,0,4,6,8,1,4
4318.0,2,175,0,4,6,8,1,7
4377.0,2,165,0,4,6,8,1,7
4377.0,2,170,0,4,6,8,1,7
4530.0,3,165,0,4,6,8,3,13
4639.0,4,170,0,4,6,8,3,20
4639.0,4,170,0,4,6,8,1,18
4644.0,2,165,0,4,6,8,3,9
4644.0,2,175,0,4,6,8,2,8
4770.0,2,170,0,4,6,8,3,9
4944.0,2,165,0,4,6,8,3,9
4944.0,2,175,0,4,6,8,1,7
4944.0,2,180,0,4,6,8,2,8
5160.0,3,165,0,4,6,8,2,12
5160.0,3,175,0,4,6,8,2,12
5995.0,4,175,0,4,6,8,2,19
5999.0,2,245,0,4,6,8,2,8
6126.0,3,155,0,4,6,8,1,11
6444.0,2,260,0,4,6,8,0,6
6768.0,6,160,0,4,6,8,2,22
6768.0,6,160,0,4,6,8,2,22
6768.0,6,160,0,4,6,8,1,21
6768.0,6,165,0,4,6,8,2,22
6768.0,6,175,0,4,6,8,1,21
6834.0,2,285,0,4,6,8,3,9
6887.0,2,170,0,4,6,8,0,6
6887.0,2,170,0,4,6,8,0,6
6887.0,2,175,0,4,6,8,2,8
6887.0,2,175,0,4,6,8,0,6
6995.0,4,485,0,4,6,8,0,17
7171.0,0,170,0,4,6,8,0,0
7281.0,3,175,0,4,6,8,2,12
7281.0,3,180,0,4,6,8,0,10
7281.0,3,180,0,4,6,8,0,10
7779.0,2,275,0,4,6,8,0,6
7779.0,2,275,0,4,6,8,0,6
8011.0,0,165,0,4,6,8,0,0
8381.0,4,400,0,4,6,8,2,19
8851.0,0,165,0,4,6,8,2,2
8851.0,0,165,0,4,6,8,1,1
13741.0,1,160,0,4,6,8,3,5
3784.0,1,165,0,4,4,9,1,4
3925.0,2,170,0,4,4,9,1,7
4220.0,1,160,0,4,4,9,3,5
4377.0,2,165,0,4,4,9,1,7
4377.0,2,165,0,4,4,9,3,9
4377.0,2,170,0,4,4,9,3,9
4530.0,3,165,0,4,4,9,3,13
4639.0,4,170,0,4,4,9,3,20
4644.0,2,165,0,4,4,9,3,9
4644.0,2,170,0,4,4,9,1,7
4644.0,2,180,0,4,4,9,2,8
4944.0,2,175,0,4,4,9,1,7
4944.0,2,175,0,4,4,9,1,7
5160.0,3,155,0,4,4,9,1,11
5160.0,3,165,0,4,4,9,2,12
